 Grade breakdown where there are fewer than five entries is not provided and is denoted with [c].,,,,,,,,,,,,,,,
Year,Area,Education_Authority,Centre Type,Centre ,Centre Name,Level,Title,Entries,A,B,C,AC,D,AD,NA
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Spanish,30,19,5,3,90.0%,1,93.3%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Accounting,9,0,0,3,33.3%,1,44.4%,5
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Administration and IT,8,0,0,3,37.5%,3,75.0%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Applications of Mathematics,19,2,4,0,31.6%,3,47.4%,10
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Art and Design,16,1,5,6,75.0%,4,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Business Management,9,1,4,1,66.7%,1,77.8%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Chemistry,15,3,6,2,73.3%,3,93.3%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Computing Science,18,5,4,5,77.8%,2,88.9%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Drama,7,2,1,1,57.1%,3,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Engineering Science,10,2,2,2,60.0%,2,80.0%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,English,78,6,17,17,51.3%,25,83.3%,13
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,French,5,3,0,2,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Geography,6,1,1,4,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Graphic Communication,12,6,3,2,91.7%,1,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,History,11,2,2,3,63.6%,2,81.8%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Human Biology,39,5,2,7,35.9%,14,71.8%,11
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Mathematics,46,10,8,10,60.9%,4,69.6%,14
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Modern Studies,49,14,13,9,73.5%,4,81.6%,9
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Music,6,2,3,1,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Photography,3,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Physical Education,17,3,6,8,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Physics,20,3,7,6,80.0%,2,90.0%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,"Religious, Moral and Philosophical Studies",22,7,4,4,68.2%,2,77.3%,5
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Spanish,5,0,2,3,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Art and Design (Expressive),3,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Biology,1,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Chemistry,1,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Computing Science,16,3,3,3,56.3%,3,75.0%,4
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Drama,5,2,0,2,80.0%,1,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Mathematics,13,3,1,1,38.5%,3,61.5%,5
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Modern Studies,7,1,0,2,42.9%,2,71.4%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Music,6,2,2,1,83.3%,1,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,"Religious, Moral and Philosophical Studies",3,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Spanish,1,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Administration and IT,31,3,6,7,51.6%,10,83.9%,5
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Applications of Mathematics,122,46,24,20,73.8%,19,89.3%,13
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Art and Design,18,6,7,2,83.3%,3,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Biology,60,24,9,13,76.7%,9,91.7%,5
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Business Management,25,11,6,4,84.0%,3,96.0%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Chemistry,45,36,8,1,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Computing Science,22,15,4,1,90.9%,2,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Drama,15,5,8,2,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,English,137,58,39,20,85.4%,9,92.0%,11
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,English for Speakers of Other Languages,1,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,French,8,4,1,2,87.5%,1,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Geography,17,4,1,4,52.9%,5,82.4%,3
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,History,52,16,12,6,65.4%,5,75.0%,13
